# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
3400000,-0.0006,-0.006,0.0002,3.08,-0.11,-9.9
3410000,-0.004,-0,0.003,3.08,0.09,-9.78
3420000,0.0018,-0.0054,0.0002,3.32,-0.26,-9.85
3430000,-0.0002,0.0002,-0.0044,3.41,0.01,-9.82
3440000,-0.001,-0.0044,0.0012,3.34,-0.04,-9.65
3450000,0.0012,-0.0042,-0.0022,3.05,0.21,-9.72
3460000,0.0004,-0.0008,0.0026,3.38,-0.03,-9.78
3470000,0.0006,-0.005,0.0018,3.49,-0.08,-9.93
3480000,-0.0016,-0.002,-0.0026,3.29,-0,-9.68
3490000,0.0004,-0.0012,0.0016,3.41,-0.13,-9.74
3500000,0.0002,-0.0026,-0.0014,3.14,-0.12,-9.83
3510000,-0.0026,-0.0054,0.001,3.19,0.28,-9.73
3520000,0.003,-0.0014,-0.0004,3.36,0.05,-9.76
3530000,0.0036,-0.0036,0.0022,3.17,-0.16,-9.87
3540000,-0.0026,-0.0052,-0.0018,3.45,0.04,-9.67
3550000,0.0002,-0.004,0.0006,3.26,0.06,-9.67
3560000,-0.0016,0.0004,-0.0038,3.37,-0.01,-9.73
3570000,0.0018,-0.0054,-0.0022,3.37,-0.02,-9.91
3580000,-0.0022,0.0002,-0.0002,3.09,-0.04,-9.68
3590000,-0.0012,0.0004,0.0018,3.39,0.08,-9.62
3600000,-0.0014,-0.0048,-0.0018,3.24,-0,-9.99
3610000,0.0012,-0.0072,-0.0008,3.16,-0.08,-9.66
3620000,0.002,0.001,-0.0032,3.35,0.04,-9.7
3630000,-0.0032,-0.0028,-0.0026,3.15,-0.14,-9.68
3640000,0.0036,0.0006,0.0076,3.36,0.13,-9.87
3650000,0.0016,-0.0018,0,3.41,0.02,-10.04
3660000,-0.002,-0.0018,0.0006,3.12,0.01,-9.91
3670000,-0.0028,-0.0042,0.0016,3.3,-0.14,-9.77
3680000,-0.0002,-0.0026,-0.0004,3.24,-0,-9.57
3690000,0.0032,-0.0004,0.0016,3.31,-0.11,-9.58
3700000,0.0004,-0.0026,-0.001,3.22,0.13,-10.03
3710000,0.0002,-0.004,0,3.08,-0.06,-9.75
3720000,-0.0014,-0.0036,-0.0012,3.3,-0.04,-9.7
3730000,-0.0048,-0.0012,0.0014,3.36,0.02,-9.8
3740000,0.0054,-0.003,-0.0028,3.24,-0.16,-9.84
3750000,-0.0012,-0.0046,0.0022,3.38,-0.21,-9.87
3760000,0.0006,-0.0022,-0.0024,3.06,0.04,-9.64
3770000,-0.0028,-0.0068,-0.0022,3.34,0.05,-9.69
3780000,0.0016,0.002,0.0002,3.27,-0.13,-9.71
3790000,0.0022,-0.0038,-0.0022,3.14,0.1,-9.73
3800000,-0.0006,-0.0036,0.001,3.44,-0.05,-9.81
3810000,-0.0018,-0.0016,0.0032,3.27,0,-9.91
3820000,0.004,-0.0058,-0.0006,3.39,-0.01,-9.73
3830000,0.0026,-0.0006,0.0016,3.2,0.07,-9.71
3840000,-0.0036,-0.0022,-0,3.3,-0.07,-9.66
3850000,-0.0024,0.002,0.0038,2.78,-0.01,-9.76
3860000,0.0002,-0.0052,-0.0038,2.97,-0.04,-9.85
3870000,-0.0022,0.004,-0.0016,2.73,0.08,-9.52
3880000,0.0028,-0.0028,0.0036,2.89,-0.03,-9.88
3890000,0.0006,-0.0016,-0.0002,2.93,-0.03,-9.8
3900000,0.0024,-0.004,-0.002,2.72,-0.09,-9.71
3910000,-0,-0.0042,0.0008,3.06,0.18,-9.58
3920000,-0.0016,0.0018,0.0012,2.78,0.11,-10.07
3930000,0.0046,-0.0016,-0.0006,2.76,0.28,-9.81
3940000,-0.0042,-0.0022,0.0014,2.93,-0.14,-9.72
3950000,0.0008,-0.001,0.0028,2.85,-0.16,-10.04
3960000,-0.0006,-0.0004,-0.006,3.06,-0,-9.62
3970000,-0,-0.0014,0.0034,3.09,-0.06,-9.75
