# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 797 Hz by 4 (inslib_decimate_dataset.py)
5441082475,0.00054037193,-0.00915079575,-0.00185705083,-0.339910064,-0.330318352,-9.74033585,33.875
5441087490,-0.00081055785,-0.00861251342,-0.000530585955,-0.3554503,-0.334506443,-9.73674805,34
5441092506,-0.0005403719,-0.00807423135,-0.000530585955,-0.348277879,-0.330318361,-9.75468615,33.95
5441097521,-0.00081055785,-0.00861251316,-0.000265292977,-0.348277879,-0.338096229,-9.7600677,33.9
5441102537,-0.00081055785,-0.00834337212,-0.000530585955,-0.339312354,-0.343480909,-9.74751085,33.975
5441107552,-0.00081055785,-0.00807423109,-0.000265292977,-0.337519251,-0.349463882,-9.76305738,33.825
5441112568,0.00054037193,-0.00699766695,0,-0.330944512,-0.34228431,-9.767243,33.975
5441117583,0.000270185965,-0.00699766695,-0.00106117191,-0.339910055,-0.338096229,-9.75468615,33.975
5441122599,0,-0.00619024383,-0.00185705083,-0.330944512,-0.338694514,-9.75408833,33.85
5441127614,0,-0.00565196176,-0.00132646488,-0.329151418,-0.339891113,-9.77083065,33.975
5441132630,0.00054037193,-0.00457539762,-0.00159175786,-0.319588184,-0.347668989,-9.77382033,33.825
5441137645,0.000270185965,-0.00322969244,-0.00185705083,-0.31659967,-0.353053678,-9.76186159,33.9
5441142661,0.00054037193,-0.00349883348,-0.00185705083,-0.314208865,-0.341087712,-9.76365535,33.875
5441147676,0.000270185965,-0.00376797451,0,-0.309427238,-0.345275792,-9.76604706,33.9
5441152691,0.000810557895,-0.00242226933,-0.00185705083,-0.304047925,-0.350062177,-9.77501626,33.95
5441157707,-0.00027018595,-0.00215312829,-0.00185705083,-0.307634135,-0.346472391,-9.77860376,33.875
5441162722,0.00108074386,-0.00161484625,-0.00212234381,-0.295082395,-0.339891122,-9.78159345,33.925
5441167738,0,-0.00215312829,-0.00079587893,-0.313013463,-0.345275802,-9.7833872,33.875
5441172753,0.000810557895,-0.00134570523,-0.00106117191,-0.306438747,-0.340489417,-9.77561408,33.925
5441177769,-0.0010807438,-0.00161484625,-0.000265292977,-0.290300783,-0.34766899,-9.77322222,33.975
5441182784,0.00027018598,-0.000807423125,-0.00106117191,-0.301657116,-0.32732687,-9.77920158,33.925
5441187800,0,-0.00161484625,-0.00132646488,-0.291496189,-0.335703041,-9.7708305,33.975
5441192815,-0.00027018595,-0.000538282105,-0.00106117191,-0.295680101,-0.34108772,-9.77501611,33.925
5441197831,-0.00081055785,-0.000269141052,-0.00079587893,-0.277151342,-0.318950707,-9.78817078,33.975
5441202846,-0.0005403719,-0.000807423157,0.000530585955,-0.283726062,-0.346472391,-9.76305738,33.925
5441207862,-0.0010807438,-0.00107656421,-0.000795878932,-0.28492146,-0.32732687,-9.76664503,33.975
5441212877,-0.0005403719,0.000269141183,-0.00185705077,-0.287312273,-0.339292828,-9.76305738,33.975
5441217893,-0.00135092978,0.00107656447,-0.00212234381,-0.278944445,-0.339891122,-9.74930475,33.9
5441222908,-0.0005403719,0.00161484632,-0.00212234381,-0.260415681,-0.330318361,-9.76305753,33.8
5441227924,-0.0005403719,0.000807423158,0.000265292977,-0.256231769,-0.335104737,-9.754686,33.9
5441232939,-0.0005403719,0.000538282105,-0.000530585955,-0.262806485,-0.335703032,-9.7528924,33.95
5441237955,-0.00189130175,0.000807423158,-0.00185705083,-0.264599597,-0.34228431,-9.73674805,33.925
5441242970,-0.00243167378,0.000269141117,-0.00079587893,-0.259220279,-0.346472391,-9.74870678,34.025
5441247986,-0.00162111576,0,-0.000530585955,-0.265197298,-0.323138797,-9.74212931,34
5441253001,-0.0010807438,0.00107656447,-0.00106117191,-0.255036367,-0.341686015,-9.73555212,33.875
5441258017,-0.00270185982,0.000538282235,-0.00238763672,-0.266990401,-0.335104728,-9.72538729,33.9
5441263032,1.5e-11,0.00161484627,-0.00238763672,-0.258622578,-0.333309853,-9.73615023,33.825
5441268048,-0.0008105579,0.00188398724,-0.00159175786,-0.261013382,-0.341686015,-9.73734602,33.85
5441273063,-0.00081055785,0.00188398724,-0.00106117191,-0.264001887,-0.328523477,-9.7331604,33.8
5441278079,-0.00027018595,0.00107656447,-0.00212234381,-0.255634063,-0.338096229,-9.73435633,33.95
5441283094,-0.00081055785,0.000269141117,-0.000265292977,-0.267588107,-0.33689963,-9.73794413,33.825
5441288109,-0.00027018595,0.00188398739,-0.000265292977,-0.260415685,-0.335104746,-9.73734601,33.975
5441293125,-0.00135092978,0.00161484632,-0.00106117191,-0.26938121,-0.334506443,-9.747511,33.9
5441298140,-0.00081055785,0.00188398724,-0.00106117191,-0.269978915,-0.327925174,-9.7421296,33.875
5441303156,-0.00135092981,0.0026914103,-0.00132646488,-0.264001892,-0.348865579,-9.7331604,33.925
5441308171,-0.0010807438,0.00296055137,-0.000795878932,-0.265795004,-0.343480899,-9.74631492,33.925
5441313187,1.5e-11,0.00134570539,-0.000530585955,-0.282530656,-0.337497944,-9.75109865,33.85
5441318202,0.00108074386,0.00107656447,-0.000795878932,-0.284921464,-0.345874096,-9.73555212,33.95
5441323218,-0.00027018595,0.00134570539,-0.00185705077,-0.292691591,-0.343480909,-9.74093367,33.9
5441328233,0,0.0026914103,-0.00344880863,-0.278944445,-0.340489426,-9.74272742,33.925
5441333249,0,0.00134570539,-0.00132646488,-0.293289292,-0.342882605,-9.74631507,33.95
5441338264,0.00054037193,0.00242226938,-0.000530585955,-0.2950824,-0.341686006,-9.7582738,34
5441343280,-0.0010807438,0.0026914103,-0.00159175786,-0.294484694,-0.335703041,-9.77501611,33.9
5441348295,0.00027018598,0.00161484632,-0.000530585955,-0.304047925,-0.338694533,-9.77740798,33.95
5441353311,-0.00108074383,0.00242226923,-0.00106117191,-0.304047924,-0.335703032,-9.76843893,33.95
5441358326,-0.00162111576,0.00188398739,-0.00185705083,-0.302852523,-0.333309853,-9.76784081,33.925
5441363342,-0.00027018595,0.00215312831,-0.00159175786,-0.314806575,-0.325531985,-9.7708305,33.875
5441368357,0.00054037193,0.0013457052,-0.000530585955,-0.314806575,-0.34766899,-9.76126363,33.925
5441373373,0,0.0013457052,-0.000795878932,-0.308829546,-0.344677498,-9.77860376,33.85
5441378388,0.000270185965,0.000807423352,-0.00079587893,-0.314208865,-0.336301326,-9.7780058,33.85
5441383404,0.00054037193,0.00161484632,-0.00185705083,-0.323174399,-0.336899631,-9.76843878,33.95
5441388419,-0.00027018595,0.00161484646,-0.00159175786,-0.326760605,-0.335104737,-9.77561408,33.95
5441393435,-0.0005403719,0.00322969252,-0.00132646488,-0.325565203,-0.335104746,-9.78577906,33.925
5441398450,0.00054037193,0.00134570539,-0.000530585955,-0.33034682,-0.348865597,-9.77561393,33.875
5441403466,-0.0005403719,0.00134570539,-0.00106117191,-0.329151418,-0.34228432,-9.77382018,33.975
5441408481,-0.00081055785,0.00215312816,0,-0.332139914,-0.335703032,-9.79893343,33.95
5441413497,0,0.00242226923,-0.00106117191,-0.32974911,-0.344079203,-9.78577906,33.825
5441418512,0,0.0026914103,-0.00132646488,-0.335128428,-0.3464724,-9.77920173,33.825
5441423528,0,0.00322969244,-0.00106117191,-0.334530727,-0.328523468,-9.80371687,34.075
5441428543,0.000270185965,0.00242226923,-0.00106117191,-0.339910064,-0.329720067,-9.79116046,33.85
