# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
46599817,-10.3965,-14.9020,46.2745
46699355,-11.0825,-14.9945,46.8816
46800831,-11.1368,-14.9371,46.1430
46900789,-11.0985,-14.4949,46.3661
47001497,-10.9748,-14.5423,46.1253
47099485,-11.4867,-14.1425,46.1809
47200079,-11.8596,-13.9269,46.7398
47299151,-11.6534,-14.3573,47.2006
47398814,-12.5381,-13.4826,46.7753
47499794,-12.2326,-13.6499,46.5713
47599676,-11.6962,-13.7958,46.5202
47698778,-12.2818,-13.6172,46.6755
47801104,-12.0957,-13.5479,46.5503
47900322,-12.8251,-13.6324,46.0031
48000027,-12.7777,-13.3451,46.4560
48099785,-12.3946,-13.6510,46.3626
48201136,-12.9061,-13.2751,46.6048
48298511,-12.4403,-13.1592,46.6744
48400740,-13.0294,-13.0758,46.2885
48498893,-13.5519,-12.7704,46.7975
48601359,-13.1740,-12.8687,46.6538
48700920,-13.6567,-12.6942,46.1494
48801340,-13.5421,-12.5749,46.2613
48900895,-13.3977,-12.6609,46.3208
48999372,-13.5271,-12.1318,46.6585
49101375,-13.7975,-12.0530,46.4204
49199527,-13.4296,-11.7178,46.3888
49299529,-13.7898,-11.7151,46.3887
49399398,-13.9775,-11.6726,46.5008
49500179,-14.5016,-11.8948,46.4130
49600526,-13.9655,-11.2120,46.5175
49699624,-14.8642,-11.5783,46.3394
49799687,-14.6825,-11.7766,46.3507
49901382,-15.1088,-11.5945,45.9971
50000167,-14.4916,-11.5515,45.9459
50099650,-14.4040,-10.4371,46.3092
50200061,-14.6347,-10.5202,46.7735
50299275,-14.7996,-10.3263,45.8646
50398921,-15.2250,-10.6487,46.2471
50500780,-14.9361,-10.2336,46.5924
50599873,-14.9642,-10.2693,46.2351
50700590,-15.5079,-9.8907,46.5776
50800918,-15.4743,-10.3156,45.7671
50898893,-15.1902,-9.8677,46.1709
51000205,-15.3161,-9.5971,46.1934
51099864,-15.7901,-9.5292,46.5390
51201419,-16.6121,-9.2725,46.2437
51300971,-15.5572,-9.6011,46.6744
51400652,-16.3236,-8.7385,46.8783
51499502,-16.0737,-9.1053,46.6271
51598895,-16.0752,-8.5745,46.4240
51699960,-15.7725,-9.0084,45.9173
51800519,-15.5978,-8.6332,46.6598
51899080,-16.6819,-8.6474,45.8822
51999821,-16.8363,-8.3504,45.7701
52100447,-16.6762,-8.1606,46.2486
52198749,-16.4449,-8.8611,46.1797
52301185,-16.3419,-7.9769,46.1007
52399688,-16.7492,-7.7849,46.3121
52499197,-16.7782,-8.1081,46.0160
52598786,-16.6870,-7.4979,46.3773
52701264,-17.5142,-7.0496,46.2545
52800490,-16.5145,-7.3124,46.3474
52901398,-17.1397,-7.3609,46.6661
52999946,-16.6778,-7.2706,46.3526
53098825,-17.0847,-7.0088,45.6558
53200474,-17.2673,-6.8465,46.9466
53299807,-16.7193,-6.4598,45.8764
53399900,-18.1820,-6.4295,46.4518
53499771,-17.4540,-6.4613,45.8683
53600212,-16.9113,-6.1299,46.4976
