# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
2948819,0.0028,0.0013,0.0512,-0.02,0.19,-9.45
2958670,0.0020,-0.0064,0.0445,-0.14,0.05,-9.66
2969947,0.0052,-0.0011,0.0477,-0.50,0.29,-9.32
2980353,-0.0006,0.0059,0.0485,0.19,-0.74,-9.43
2988956,-0.0001,-0.0005,0.0456,0.01,0.07,-9.36
3001119,-0.0014,0.0024,0.0469,0.43,-0.27,-10.27
3011394,0.0060,0.0029,0.0440,-0.18,0.51,-9.67
3019432,0.0042,0.0032,0.0453,0.51,-0.27,-9.79
3029819,-0.0006,0.0003,0.0483,0.44,0.23,-9.55
3040218,0.0063,-0.0021,0.0509,0.38,0.06,-10.08
3050697,0.0044,0.0043,0.0587,-0.13,0.48,-9.50
3059322,0.0023,-0.0021,0.0469,-0.06,-0.19,-9.52
3070348,0.0023,-0.0029,0.0475,0.09,-0.13,-8.83
3079332,0.0018,0.0008,0.0408,-0.18,-0.28,-9.60
3090441,0.0034,0.0032,0.0493,-0.04,-0.15,-9.55
3100503,0.0026,0.0059,0.0499,-0.27,-0.08,-9.69
3108553,0.0002,0.0005,0.0507,0.38,-0.69,-9.36
3119187,0.0055,0.0005,0.0445,0.22,-0.18,-9.73
3130166,0.0018,0.0011,0.0501,0.47,-0.23,-10.22
3138501,-0.0028,0.0053,0.0437,-0.13,0.57,-9.72
3151141,0.0039,0.0016,0.0469,0.46,-0.06,-9.47
3160990,0.0020,0.0064,0.0483,0.12,0.17,-8.87
3168520,0.0018,0.0019,0.0453,0.22,-0.11,-9.56
3180295,0.0042,-0.0003,0.0491,-0.56,0.60,-9.32
3188969,0.0015,-0.0005,0.0480,-0.22,-0.35,-9.69
3199646,-0.0022,0.0029,0.0459,-0.04,-0.25,-9.08
3209211,0.0031,0.0008,0.0459,0.48,-0.65,-9.91
3219253,0.0015,-0.0013,0.0437,0.21,0.00,-9.74
3230164,-0.0028,-0.0027,0.0451,0.15,-0.12,-10.02
3241135,0.0002,-0.0021,0.0451,0.42,-0.28,-9.31
3249511,0.0026,0.0019,0.0435,0.28,-0.30,-9.67
3259634,0.0066,-0.0019,0.0517,0.32,0.18,-9.74
3269826,0.0023,0.0013,0.0453,-0.34,0.43,-9.63
3279946,0.0050,0.0043,0.0459,-0.09,-0.02,-9.21
3289876,0.0052,0.0019,0.0464,-0.06,-0.12,-9.03
3299411,0.0108,-0.0005,0.0448,0.03,-0.30,-9.50
3310949,0.0023,-0.0000,0.0453,-0.63,0.24,-9.40
3319252,0.0052,0.0024,0.0477,0.23,-0.44,-9.62
3330833,0.0039,0.0008,0.0445,0.07,-0.25,-9.20
3338897,0.0047,-0.0024,0.0435,0.70,-0.60,-10.12
3351143,0.0122,0.0032,0.0523,-0.13,0.34,-9.99
3359516,0.0039,-0.0021,0.0451,0.37,0.00,-10.09
3369467,0.0010,0.0056,0.0427,0.28,0.20,-9.17
3379546,-0.0006,0.0016,0.0504,0.24,-0.28,-9.55
3391123,0.0002,0.0019,0.0408,0.07,0.38,-9.31
3400111,0.0034,0.0032,0.0413,-0.50,0.26,-9.52
3409386,-0.0001,0.0008,0.0382,-0.19,-0.06,-9.03
3420900,0.0026,0.0013,0.0451,-0.02,-0.52,-9.32
3430453,-0.0017,0.0091,0.0464,0.36,-0.50,-9.63
3439072,-0.0004,0.0035,0.0509,-0.14,-0.03,-9.97
3450499,0.0079,-0.0035,0.0395,0.14,-0.42,-9.58
3461360,0.0047,-0.0008,0.0416,0.18,-0.11,-9.38
3471481,0.0039,-0.0019,0.0448,0.57,-0.18,-9.65
3478838,0.0071,-0.0008,0.0501,-0.11,0.58,-9.65
3488944,-0.0004,0.0005,0.0448,0.04,-0.14,-9.72
3500518,0.0023,-0.0019,0.0483,-0.17,0.24,-8.99
3510418,0.0039,0.0008,0.0405,0.36,-0.35,-9.23
3520519,0.0055,0.0019,0.0400,-0.21,0.23,-9.20
3530486,0.0039,0.0019,0.0523,-0.13,-0.26,-9.95
3539511,0.0052,0.0019,0.0421,-0.17,-0.06,-9.17
3548717,0.0052,0.0019,0.0448,0.51,-0.61,-9.55
3559867,0.0047,0.0024,0.0475,0.38,-0.01,-9.68
3570710,-0.0038,-0.0003,0.0427,-0.14,0.05,-10.28
3579368,0.0018,0.0045,0.0485,0.18,0.13,-9.72
