# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
28830004,-3.72698,25.8842,12.8325
28930303,-4.07775,25.3581,12.3648
29030001,-3.4639,25.5335,12.6425
29130000,-3.55159,25.7089,12.7156
29230015,-4.09237,25.5481,12.2771
29330226,-4.22391,25.5627,12.4087
29430000,-3.81467,25.8989,11.9556
29530232,-4.19468,25.6065,11.8825
29630001,-4.06314,25.5189,12.891
29730492,-3.94621,25.7235,12.511
29830001,-4.16545,25.5335,11.5756
29930226,-4.37007,25.2996,11.2833
30030182,-3.56621,26.0889,12.3648
30130323,-3.82929,25.7527,13.0517
30230002,-4.3116,25.475,12.1748
30330322,-4.22391,25.7235,12.2625
30430001,-4.07775,25.9573,12.7448
30530597,-3.88775,25.4458,12.5402
30630010,-3.84391,26.0742,12.5987
30730226,-4.16545,26.0012,12.4963
30830000,-4.42853,25.2558,12.701
30929999,-4.1216,25.4165,11.8386
31030000,-4.35545,25.7819,13.1687
31130605,-4.92546,25.6942,11.9848
31230000,-4.41391,25.5919,12.5987
31330225,-4.867,26.2496,12.7594
31430198,-3.96083,25.8696,12.1456
31529999,-4.3993,25.9427,12.8325
31630001,-4.13622,25.6504,12.0871
31730336,-4.38468,25.4604,12.6279
31830002,-4.42853,25.5773,12.0579
31930600,-4.16545,25.7673,12.8325
32030027,-4.50161,26.1035,11.9848
32130323,-4.29699,25.9427,12.0725
32230001,-3.94621,25.3873,12.204
32329999,-3.94621,25.6504,11.941
32430002,-4.56007,26.0596,12.2771
32530526,-4.04852,25.9866,11.5756
32630001,-4.2093,26.0742,11.6048
32730226,-4.50161,25.7819,12.1456
32830215,-3.9316,25.5481,11.9702
32930226,-4.03391,25.4458,12.774
33030000,-3.84391,25.7381,11.9848
33130451,-4.00468,25.7089,12.3648
33230000,-4.09237,25.6358,12.1456
33330600,-4.2093,25.1681,12.891
33430043,-3.91698,25.4896,12.8471
33530225,-3.9316,25.8989,12.9933
33630001,-4.13622,25.665,12.7594
33730270,-4.72084,25.8989,12.6717
33830001,-3.61006,25.6212,12.4963
33930672,-4.23853,25.5627,12.9787
34030007,-4.18006,25.7819,13.1102
34130327,-4.66238,25.5189,12.774
34230232,-4.03391,25.5919,12.4817
34330225,-3.90237,25.8404,12.8325
34430002,-3.9316,25.665,12.4525
34530373,-4.07775,25.1096,11.8533
34630002,-4.7793,25.5042,13.1102
34730592,-4.41391,25.2558,12.2917
34830060,-3.90237,25.095,13.154
34930226,-4.32622,26.0158,12.774
35030002,-4.2093,25.9427,13.4902
35130359,-4.16545,25.9281,12.7156
35230002,-4.57469,25.9135,12.204
35330628,-4.06314,25.6065,12.8617
35430001,-3.78544,25.7235,12.7156
