# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 798 Hz by 4 (inslib_decimate_dataset.py)
3714609022,0.0132391127,0.00592110264,0.00848937551,-0.33572613,0.0573784658,-9.83480934,25.425
3714614036,0.0210745066,0.00807423057,0.00848937577,-0.380553798,-0.266898814,-9.94781964,25.35
3714619051,0.0183726459,0.00538282098,0.00955054702,-0.424186038,-0.372797485,-9.94722225,25.35
3714624065,0.0151304142,0.0113039234,0.00742820335,-0.281335253,-0.321343904,-9.8963972,25.35
3714629079,0.00810557902,0.0110347825,0.00636703105,-0.109794777,-0.278266477,-9.97054145,25.375
3714634094,0.0145900422,0.00753594876,0.00848937512,-0.198852374,-0.458354045,-10.0536552,25.275
3714639108,0.000540371737,0.00430625658,0.00928525418,-0.341703158,-0.309976237,-9.89161347,25.275
3714644122,0.00162111583,0.00753594876,0.00848937577,-0.372783667,-0.266300524,-9.88862393,25.275
3714649137,0.00594409136,0.00376797448,0.00901996147,-0.541335632,-0.168778015,-9.75946959,25.275
3714654151,0.00756520699,0.00645938482,0.0079587893,-0.578393168,-0.348865588,-9.76784081,25.3
3714659165,0.00621427734,0.0129187703,0.010877011,-0.513243637,-0.422456191,-9.77920158,25.4
3714664180,-0.00540371945,0.00430625642,0.00955054715,-0.602301237,-0.313566028,-9.99804672,25.425
3714669194,-0.00216148763,0.00753594901,0.00848937577,-0.565243709,-0.0556997764,-10.2031397,25.325
3714674209,0.00945650876,0.0131879113,0.0100811326,-0.49591028,-0.18612865,-10.3245212,25.35
3714679223,0.0170217158,0.0061902441,0.00955054716,-0.516232152,-0.423652789,-10.2736964,25.375
3714684237,0.00810557888,0.0102273593,0.0114075969,-0.48993326,-0.491260408,-10.1666652,25.475
3714689252,-0.0062142773,0.00915079525,0.00981583973,-0.452875733,-0.379977053,-10.268315,25.375
3714694266,-0.0018913017,0.00188398739,0.00795878956,-0.467818295,-0.0449304208,-10.2378202,25.3
3714699280,0.0126987406,0.0137261932,0.0103464256,-0.476186128,-0.281257964,-10.2539641,25.4
3714704295,0.00459316168,0.0126496291,0.0108770112,-0.31420886,-0.343480908,-10.1218201,25.325
3714709309,-0.000810557868,0.000807423175,0.00875466862,-0.503082702,-0.390746417,-10.2754907,25.3
3714714323,-0.00567390547,0.00188398738,0.00901996147,-0.598715022,-0.18971843,-10.0781706,25.425
3714719338,0.000270185983,0.0131879113,0.00848937577,-0.382944593,-0.0927942268,-9.9555929,25.3
3714724352,-0.00270185976,0.00188398711,0.00769349645,-0.333933031,-0.136469949,-9.90417046,25.3
3714729367,0.00432297546,0.00161484632,0.00848937486,-0.5018873,-0.152025683,-9.88443847,25.4
3714734381,-0.00216148773,0.0115730646,0.0100811326,-0.396094043,-0.15023079,-9.78518095,25.325
3714739395,0.00378260356,0.00484453873,0.00875466836,-0.34947329,-0.186726939,-9.74930431,25.325
3714744410,-0.00405278949,0.00134570526,0.00769349646,-0.3865308,-0.232795857,-9.61596449,25.225
3714749424,0.00297204577,0.0148027578,0.00875466822,-0.218576536,-0.0993754934,-9.46229427,25.25
3714754438,-0.00837576497,0.00834337239,0.00689761733,-0.148047706,-0.117324425,-9.54361384,25.35
3714759453,0.012968926,0.00430625671,0.00689761726,-0.391312426,-0.0880078459,-9.53165495,25.375
3714764467,0.00621427724,0.0172250266,0.00901996147,-0.239496108,-0.171171207,-9.33553121,25.35
3714769481,0.00648446338,0.022607847,0.00557115218,-0.0243233886,-0.269292007,-9.45691273,25.4
3714774496,0.00675464921,0.0115730648,0.00716291024,-0.119955707,-0.319549003,-9.46887146,25.3
3714779510,0.00378260356,0.0231461294,0.00610173807,-0.150438508,-0.320745601,-9.52388183,25.375
3714784525,-0.00189130162,0.0252992574,0.00477527332,-0.00699002912,-0.229804365,-9.56513973,25.45
3714789539,0.0110776248,0.0239535522,0.00557115251,-0.0888752084,-0.287240934,-9.66499536,25.4
3714794553,0.0140496699,0.0293363735,0.00769349645,-0.0087831355,-0.324335387,-9.44316009,25.3
3714799568,0.00486334742,0.0349883368,0.00769349646,0.125102121,-0.39254131,-9.48800549,25.275
3714804582,0.00567390528,0.0306820792,0.00822408267,0.0964124219,-0.298608592,-9.52328402,25.35
3714809596,0.0129689264,0.0390254513,0.00716291024,0.0790790611,-0.41168684,-9.58726344,25.4
3714814611,0.00243167371,0.0382180293,0.00955054702,0.0826652765,-0.363224725,-9.62493354,25.375
3714819625,0.0102670673,0.0325660675,0.00875466862,-0.0817027824,-0.384165139,-9.66200582,25.3
3714824639,0.00756520738,0.040102016,0.0100811326,-0.0906683139,-0.188521835,-9.50773763,25.4
3714829654,-0.00135092975,0.0417168611,0.00901996147,-0.0589901065,-0.163991635,-9.7475107,25.275
3714834668,0.0183726467,0.0322969264,0.0116728899,-0.180921314,-0.163991635,-9.73435634,25.3
3714839682,0.0270185963,0.0436008479,0.0135299416,-0.194668453,-0.528354862,-9.57291285,25.225
3714844697,0.00648446299,0.0473688213,0.0151216997,-0.0876798023,-0.481687648,-9.44375792,25.4
3714849711,-0.000810557882,0.0336426316,0.0114075976,-0.13131205,-0.406302157,-9.66200582,25.375
3714854726,-0.000810558045,0.0347191963,0.0100811327,-0.316599669,-0.0778367867,-9.72897479,25.375
3714859740,0.0145900429,0.04413913,0.012999355,-0.34947329,-0.171171207,-9.96516006,25.425
3714864754,0.0253974817,0.040371156,0.0153869927,-0.289703077,-0.229804365,-9.71761402,25.3
3714869769,0.0183726464,0.0336426321,0.0151216997,-0.456461948,-0.477499576,-9.84019118,25.325
3714874783,0.00297204564,0.0403711565,0.0135299416,-0.306438742,-0.220231602,-9.89759313,25.325
3714879797,0.00108074386,0.0290672324,0.0114075969,-0.360231918,-0.00484448377,-10.1331809,25.4
3714884812,0.0154006008,0.0317586433,0.0111423042,-0.291496185,-0.150230786,-10.4375315,25.325
3714889826,0.0129689268,0.0347191953,0.0145911137,-0.000415307648,-0.0652725347,-10.3035933,25.25
3714894840,0.0110776248,0.0107656415,0.0119381832,-0.287312278,-0.252539682,-10.3765416,25.35
3714899855,0.00702483509,0.00699766708,0.0114075969,-0.796554411,0.0334465614,-10.230047,25.3
3714904869,0.0108074392,0.0209930011,0.00955054715,-0.804324515,-0.041938933,-10.2162943,25.3
3714909884,0.0124285556,0.0188398728,0.00901996147,-0.516829852,-0.0562980715,-10.2252632,25.325
3714914898,0.0105372531,9.49999998e-11,0.00848937512,-0.644140392,-0.206470763,-10.3813256,25.35
