# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
2350000,-0,0,-0,0.18,-0.05,-9.74
2360000,-0,-0,-0.0002,0.02,-0.04,-9.76
2370000,-0.0002,-0,-0,-0.18,-0.05,-9.74
2380000,0,-0,-0.0002,-0.1,-0.03,-9.76
2390000,0.0002,-0,-0.0002,0.1,-0.07,-9.76
2400000,-0.0002,-0,-0,0.11,-0.04,-9.75
2410000,-0,-0,-0.0002,-0.03,-0.02,-9.72
2420000,-0,-0,-0,-0.06,-0.05,-9.75
2430000,-0,-0,-0.0002,0,-0.04,-9.76
2440000,-0.0002,-0,-0,-0,-0.03,-9.76
2450000,0,-0.0002,-0.0002,0.02,-0.04,-9.74
2460000,0,0,-0.0002,0.07,-0.06,-9.77
2470000,0,-0,-0,0.06,-0.03,-9.75
2480000,0,-0,-0.0002,-0.05,-0.03,-9.74
2490000,0,-0,-0,-0.07,-0.02,-9.75
2500000,-0,-0.0002,-0.0002,0.01,-0.05,-9.76
2510000,-0,0.0002,-0.0002,0.09,-0.05,-9.76
2520000,-0.0002,-0,-0,0.07,-0.05,-9.73
2530000,0,-0.0002,-0,-0.04,-0.04,-9.75
2540000,-0,0,-0.0002,-0.05,-0.04,-9.74
2550000,-0,0,-0.0002,-0.01,-0.05,-9.74
2560000,-0.0002,0,-0,-0,-0.05,-9.73
2570000,-0,0,-0.0002,0.03,-0.05,-9.76
2580000,-0,0,-0.0002,0.07,-0.04,-9.76
2590000,-0,0,-0,0.02,-0.05,-9.76
2600000,-0,0,-0.0002,-0.1,-0.04,-9.73
2610000,-0,0,-0,-0.07,-0.04,-9.75
2620000,-0,0,-0.0002,0.1,-0.04,-9.75
2630000,-0,0.0002,-0.0002,0.17,-0.06,-9.74
2640000,-0,-0,-0,0.01,-0.05,-9.76
2650000,-0,-0,-0.0002,-0.18,-0.05,-9.75
2660000,-0.0002,-0.0002,-0,-0.09,-0.05,-9.75
2670000,0,0,-0.0002,0.07,-0.04,-9.75
2680000,-0,0,-0,0.12,-0.04,-9.76
2690000,-0,0,-0.0002,-0.03,-0.04,-9.75
2700000,-0,0,-0.0002,-0.05,-0.05,-9.75
2710000,-0.0002,0,-0,-0.03,-0.04,-9.75
2720000,0,0,-0.0002,0.01,-0.05,-9.76
2730000,0,0,-0,0.03,-0.06,-9.75
2740000,-0,0,-0.0002,0.08,-0.03,-9.74
2750000,-0,0,-0,0.05,-0.04,-9.77
2760000,-0,0,-0.0002,-0.06,-0.05,-9.73
2770000,-0.0002,0,-0.0002,-0.05,-0.03,-9.77
2780000,0,0.0002,-0,-0,-0.05,-9.73
2790000,-0,-0.0002,-0.0002,0.06,-0.05,-9.74
2800000,-0,0,-0.0002,0.05,-0.05,-9.76
2810000,-0.0002,0,-0.0002,-0.03,-0.04,-9.76
2820000,0,0,-0,-0.06,-0.04,-9.72
2830000,-0,0,-0.0002,-0.02,-0.05,-9.72
2840000,-0,0,-0,0.02,-0.06,-9.77
2850000,-0,0,-0.0002,0.04,-0.04,-9.75
2860000,-0.0002,0,-0.0002,0.07,-0.06,-9.75
2870000,0,0,-0,0.04,-0.03,-9.76
2880000,0,0,-0.0002,-0.12,-0.05,-9.75
2890000,-0,0,-0,-0.08,-0.03,-9.75
2900000,-0,0,-0.0002,0.12,-0.04,-9.76
2910000,-0,-0,-0.0002,0.17,-0.05,-9.76
2920000,-0.0002,0,-0,0.01,-0.04,-9.76
2930000,-0,-0,-0.0002,-0.17,-0.05,-9.74
2940000,-0,-0,-0.0002,-0.1,-0.05,-9.75
2950000,-0,-0,-0,0.09,-0.03,-9.77
2960000,-0,0,-0.0002,0.12,-0.06,-9.76
2970000,-0,0,-0.0002,-0.01,-0.04,-9.74
2980000,-0,0,-0.0002,-0.09,-0.06,-9.75
2990000,-0,0,-0,0.01,-0.04,-9.74
3000000,-0,0,-0.0002,0.01,-0.05,-9.76
3010000,-0.0002,0,-0,0.04,-0.04,-9.75
3020000,-0,-0,-0.0002,0.06,-0.04,-9.74
3030000,-0.0002,-0.0002,-0.0002,0.05,-0.03,-9.77
3040000,0,0,-0,-0.05,-0.05,-9.76
3050000,-0,0,-0.0002,-0.06,-0.06,-9.75
3060000,-0,0,-0.0002,0.01,-0.04,-9.75
3070000,-0.0002,0,-0.0002,0.07,-0.05,-9.73
3080000,0,0,-0,0.05,-0.05,-9.74
3090000,-0,0,-0,-0.03,-0.05,-9.76
3100000,-0,0,-0.0002,-0.04,-0.04,-9.76
3110000,-0,-0,-0.0002,-0.02,-0.04,-9.76
3120000,-0.0002,0,-0,0,-0.02,-9.75
3130000,0,0,-0.0002,0.02,-0.05,-9.75
3140000,-0,0,-0.0002,0.08,-0.04,-9.75
3150000,-0,0,-0,0.04,-0.05,-9.75
3160000,-0,0,-0.0002,-0.09,-0.05,-9.75
3170000,-0.0002,0,-0.0002,-0.09,-0.05,-9.76
3180000,-0,0,-0,0.11,-0.04,-9.76
