# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
2062437345,-0.116925,-2.8062,13.271
2062537003,-1.4031,-3.39082,13.1687
2062637003,-3.01082,-4.2093,13.7241
2062737266,-3.37621,-4.41391,14.1041
2062837002,-4.13622,-4.72084,13.6217
2062937002,-5.9924,-5.58316,14.6595
2063037189,-6.24087,-5.45162,13.6656
2063137002,-6.89857,-5.96317,14.3671
2063237000,-7.16165,-6.08009,14.4548
2063337109,-7.41011,-6.16779,13.8118
2063436999,-7.45396,-6.89857,14.3525
2063537002,-7.23473,-6.12394,14.4256
2063637033,-6.9278,-5.97778,13.9871
2063737001,-6.40164,-5.3347,14.6595
2063837396,-6.62087,-5.247,13.8994
2063937002,-6.6501,-4.51622,14.2941
2064037000,-6.91318,-4.70623,14.8056
2064137316,-7.48319,-4.79392,15.2148
2064237002,-7.80474,-5.78778,14.5133
2064336999,-7.65858,-5.84624,14.6156
2064437238,-8.11166,-5.75855,14.8933
2064537002,-7.3955,-6.03625,14.8495
2064637003,-8.25782,-5.96317,14.6156
2064737163,-7.70243,-5.62701,14.0018
2064837001,-6.00702,-5.13008,14.0456
2064937000,-4.16545,-5.02777,13.8264
2065037308,-2.92312,-4.67699,13.1687
2065137001,-4.41391,-4.37007,14.1771
2065237000,-4.92546,-4.29699,14.7033
2065337049,-5.43701,-4.51622,14.3379
2065437000,-5.11546,-4.69161,14.221
2065537371,-4.42853,-5.36393,13.2271
2065637001,-3.88775,-5.59778,13.0225
2065737000,-3.63929,-5.78778,13.6802
2065837293,-4.06314,-6.06548,13.4756
2065937002,-4.45776,-6.35779,13.651
2066037002,-4.95469,-6.02163,12.8471
2066137212,-4.53084,-5.96317,13.4902
2066237001,-3.9316,-5.49547,13.081
2066337001,-3.71236,-5.057,13.0371
2066437137,-3.39082,-4.51622,13.6948
2066537002,-5.10085,-4.15083,14.5279
2066637001,-4.73546,-4.09237,14.0164
2066737057,-5.247,-5.34931,14.0456
2066837001,-5.40778,-4.79392,14.1918
2066937466,-5.40778,-4.73546,13.6948
2067037000,-4.75007,-4.95469,14.2064
2067137002,-5.5247,-5.40778,13.9579
2067237342,-6.1824,-6.03625,14.5571
2067337003,-5.91932,-5.5247,13.461
2067437002,-5.77317,-5.58316,13.6948
2067537265,-5.04239,-4.73546,13.6802
2067637002,-5.14469,-5.08623,14.2648
2067737002,-5.42239,-5.29085,14.3087
2067837187,-5.27624,-5.72932,14.1041
2067937002,-4.5893,-5.43701,13.7679
2068037000,-3.9316,-5.37854,13.5779
2068137113,-4.42853,-5.53932,13.7241
2068237000,-4.41391,-6.12394,13.4025
2068337000,-5.26162,-5.5247,13.5633
2068437033,-5.94855,-6.09471,13.6656
2068537000,-5.46624,-6.59164,13.0664
2068637399,-4.16545,-5.89009,12.6863
2068737001,-2.5285,-6.12394,12.7302
2068837002,-2.3385,-6.29933,12.701
2068937320,-2.26542,-6.02163,11.3709
2069037000,-2.64543,-6.16779,11.2394
2069137002,-2.20696,-6.81087,10.9179
2069237241,-0.950015,-6.84011,10.7132
2069337001,-1.63695,-6.54779,10.7425
2069437002,-1.76849,-6.81087,10.7425
2069537167,-2.82081,-6.51856,11.4586
2069637000,-3.02543,-6.41625,11.8971
2069737000,-2.90851,-6.34317,12.0433
2069839196,-1.94388,-5.26162,12.2625
2069939181,-1.19848,-4.98392,11.8094
2070039000,-0.555393,-4.48699,11.0932
2070138999,0.0438468,-4.7793,10.6986
2070239058,0.0876937,-4.89623,10.4648
2070339003,-0.36539,-5.48085,10.6255
2070438999,-0.073078,-6.34317,9.95323
2070539002,-0.96463,-7.2055,10.4063
2070638999,-0.59924,-7.2055,10.0555
2070739345,-1.91464,-7.80474,9.89477
2070839002,-1.73926,-8.41859,9.85092
2070939000,-1.81234,-7.76089,10.494
2071039264,-0.818474,-6.76703,10.2894
2071139001,0.555393,-6.53318,9.31014
2071239001,0.394621,-6.85472,10.2894
2071339191,-0.394621,-6.81087,10.2602
2071439002,-0.380006,-6.43087,9.90938
2071539001,-1.44695,-6.43087,10.8302
2071639109,-1.90003,-6.44548,10.8594
2071739000,-0.686934,-7.19088,10.0555
2071839000,-0.774627,-7.89243,10.1578
2071939033,-1.06694,-8.11166,9.82169
2072039001,-1.41771,-7.62935,10.9763
2072139398,-2.20696,-7.22011,11.4586
2072239002,-1.47618,-6.54779,11.6779
2072339003,-0.950015,-5.43701,10.7279
2072439321,1.5931,-4.64776,11.0348
2072539002,2.61619,-3.78544,10.5232
2072639002,2.60158,-3.90237,10.4794
2072739243,3.43467,-3.36159,9.80707
2072839000,2.67466,-3.28851,10.9471
2072939000,2.9962,-2.49927,11.0348
2073039209,3.30313,-2.83543,10.5379
2073139001,2.67466,-2.28004,10.8009
2073239002,2.47004,-0.847705,11.064
2073339090,2.8062,0.23385,12.0579
2073439001,4.76469,2.93774,11.7217
2073539005,5.15931,5.78778,11.7509
2073639010,4.85238,7.73166,12.7887
2073739001,4.72084,10.1286,13.651
2073839373,4.15083,13.1833,14.0456
2073939002,4.03391,16.6033,13.4902
2074039000,4.09237,18.9711,13.0517
2074139297,3.81467,20.8126,13.7533
2074239002,2.58696,22.4203,13.6656
2074339003,1.3154,23.3996,14.3233
2074439218,1.08156,24.5104,14.3818
2074539001,1.57849,24.5104,14.5279
2074639002,1.75387,24.9781,13.7679
2074739140,1.69541,25.5042,12.8179
2074838999,1.08156,26.5127,13.4464
2074939001,-0.0438468,27.6381,14.0164
2075039064,-0.686934,28.0474,13.9579
2075139001,-1.03771,28.4127,13.3148
2075239006,-0.555393,29.5674,13.2417
2075339001,0.511546,29.9912,13.081
2075439000,0.526162,30.1228,12.9933
2075539352,0.380006,29.8012,13.0079
2075639000,0.59924,30.1228,12.584
2075739001,1.30079,29.1874,13.154
2075839493,3.08389,28.0035,12.8033
2075939053,4.867,26.2642,12.3063
2076039000,6.24087,24.5542,12.4087
2076139198,5.68547,23.765,12.3502
2076238999,5.49547,22.1134,12.394
2076339000,4.73546,21.2511,12.584
2076439120,5.29085,19.9795,12.5402
2076539002,5.64163,18.2549,12.8764
2076639000,6.28471,16.501,12.7302
2076739044,6.16779,14.791,12.511
2076839000,5.5247,12.8033,13.0225
2076939406,4.69161,11.444,13.5487
2077039000,3.99006,9.96785,13.8702
2077139001,3.37621,8.59398,14.031
2077239331,4.2093,7.14703,12.394
2077339002,3.58082,6.05086,12.964
2077439001,2.39696,4.92546,13.3879
2077539253,1.38848,4.32622,13.7241
2077639002,1.49079,4.57469,13.2417
2077739000,1.71003,5.18854,13.5194
2077839218,2.85004,6.10932,12.8617
2077939001,3.25928,6.40164,13.3587
2078039000,1.66618,6.24087,14.7179
2078139098,0.482315,5.68547,15.7849
2078239001,0.116925,5.02777,15.3318
2078339002,0.555393,4.34084,14.6887
2078439021,1.03771,3.23005,14.8056
2078539000,0.496931,3.30313,14.1187
2078639384,-0.979246,3.44928,15.2002
2078739000,-1.60772,3.28851,15.0395
2078839002,-1.94388,2.60158,15.5072
2078939310,-1.08156,2.45542,14.7179
2079039000,-0.789243,2.2508,13.8118
2079139002,-1.05232,1.85618,14.8056
2079239233,-1.43233,1.5931,14.5718
2079339012,-2.19234,1.8708,14.8348
2079439001,-2.51388,0.570009,14.2502
2079539374,-1.63695,1.08156,14.7179
2079639002,-1.92926,0.628471,13.8702
2079739002,-2.29465,-0.526162,15.4633
2079839079,-3.53698,-0.745396,14.9079
2079939002,-4.23853,-0.774627,15.4487
2080039002,-4.06314,-0.394621,14.7471
2080139218,-3.06928,-0.570009,14.3964
2080239002,-2.3385,-1.05232,13.8118
2080339586,-2.61619,-1.75387,13.8994
2080439001,-2.44081,-2.11926,13.5048
2080539000,-3.82929,-2.82081,14.221
2080641400,-4.34084,-4.15083,13.7679
2080741175,-4.1216,-4.2093,12.9933
2080841000,-4.69161,-5.64163,12.7156
2080941000,-4.69161,-5.89009,13.154
